mul_name,retrained_acc,net,dataset,concat
ReFAM_sta2_j8_k1_const0,0.10000000149011612,vgg16,cifar10,vgg16cifar10
ReFAM_sta4_j4_k2_const1,0.7613000273704529,vgg16,cifar10,vgg16cifar10
ReFAM_sta1_j4_k4_const0,0.10000000149011612,vgg16,cifar10,vgg16cifar10
ReFAM_sta3_j7_k1_const0,0.10000000149011612,vgg16,cifar10,vgg16cifar10
ReFAM_sta1_j6_k1_const0,0.7538999915122986,vgg16,cifar10,vgg16cifar10
ReFAM_sta4_j3_k4_const0,0.2685999870300293,vgg16,cifar10,vgg16cifar10
ReFAM_sta2_j1_k3_const1,0.7745000123977661,vgg16,cifar10,vgg16cifar10
ReFAM_sta3_j1_k1_const0,0.7610999941825867,vgg16,cifar10,vgg16cifar10
ReFAM_sta3_j4_k4_const0,0.10000000149011612,vgg16,cifar10,vgg16cifar10
ReFAM_sta3_j1_k9_const0,0.10000000149011612,vgg16,cifar10,vgg16cifar10
ReFAM_sta1_j3_k4_const0,0.7328000068664551,vgg16,cifar10,vgg16cifar10
ReFAM_sta2_j3_k2_const0,0.7473000288009644,vgg16,cifar10,vgg16cifar10
ReFAM_sta4_j6_k1_const1,0.7315999865531921,vgg16,cifar10,vgg16cifar10
ReFAM_sta1_j1_k6_const0,0.7008000016212463,vgg16,cifar10,vgg16cifar10
ReFAM_sta2_j2_k4_const1,0.7541999816894531,vgg16,cifar10,vgg16cifar10
ReFAM_sta4_j8_k2_const0,0.10000000149011612,vgg16,cifar10,vgg16cifar10
ReFAM_sta2_j4_k5_const1,0.10000000149011612,vgg16,cifar10,vgg16cifar10
ReFAM_sta1_j2_k7_const1,0.10000000149011612,vgg16,cifar10,vgg16cifar10
ReFAM_sta1_j3_k6_const1,0.10000000149011612,vgg16,cifar10,vgg16cifar10
ReFAM_sta3_j3_k5_const0,0.23199999332427979,vgg16,cifar10,vgg16cifar10
ReFAM_sta2_j4_k1_const0,0.753000020980835,vgg16,cifar10,vgg16cifar10
ReFAM_sta1_j1_k4_const1,0.7451000213623047,vgg16,cifar10,vgg16cifar10
ReFAM_sta4_j4_k6_const1,0.10000000149011612,vgg16,cifar10,vgg16cifar10
ReFAM_sta3_j6_k3_const0,0.10000000149011612,vgg16,cifar10,vgg16cifar10
ReFAM_sta1_j4_k5_const1,0.10000000149011612,vgg16,cifar10,vgg16cifar10
ReFAM_sta2_j3_k4_const0,0.2467000037431717,vgg16,cifar10,vgg16cifar10
ReFAM_sta3_j5_k4_const0,0.10000000149011612,vgg16,cifar10,vgg16cifar10
